Ticker,Quarter,Gross Margin,Operating Margin,Net Margin,Interest Coverage Ratio,Revenue Growth,R&D Intensity,SG&A / Revenue,Quick Ratio,Debt to Equity,Retention Ratio,Class
TRIP,2019-Q2,0.9360189573459715,0.15639810426540285,0.08056872037914692,33.0,,,0.533175355450237,,0.6292063492063492,0.4310210444271239,1
TRIP,2019-Q3,0.9415887850467289,0.1588785046728972,0.11682242990654206,-22.666666666666668,,,0.530373831775701,,0.4975728155339806,0.4683954619124797,1
REYN,2019-Q4,0.3149700598802395,0.22634730538922157,0.10778443113772455,5.4,,,0.08862275449101796,0.4021164021164021,-6.08557457212714,,1
WMG,2019-Q4,0.4314946619217082,0.025800711743772242,0.0800711743772242,0.8529411764705882,,,0.36298932384341637,0.5736076622915928,-23.36802973977695,-0.1956124314442413,1
WMG,2020-Q1,0.47054140127388533,0.13136942675159236,0.09554140127388536,5.0,,,0.3017515923566879,0.5684172918899607,-38.36094674556213,-0.17231548938866012,1
WMG,2020-Q2,0.5004668534080299,-0.0457516339869281,-0.06909430438842204,-1.4848484848484849,,,0.5023342670401494,0.5556368960468521,-22.487719298245615,-0.19039843239712606,1
ISSC,2019-Q4,0.5954313088662445,0.18180657677611856,0.20764670798844145,-8.586759383114329,,0.10879389952661273,0.3048308325635133,11.48492489710358,0.06487138586912693,0.144476577225551,1
ISSC,2020-Q1,0.5766792687370828,0.051371317463118106,0.07268385974463075,-2.938481044757195,,0.14776141833583512,0.37754653293812956,10.6471242135402,0.07059395567009688,0.15079769967162454,1
ISSC,2020-Q2,0.47469289451124236,0.010705750594873078,0.09060995043499932,-0.7876173521401074,,0.1472615156156122,0.31672562830075707,10.104223416665526,0.07444965574786018,0.15877915602486412,1
HQI,2019-Q4,,0.45517889736336237,0.5896519963921004,70.81662118843882,,,0.48956479583644164,,0.4996464110029505,0.07852892929754399,1
HQI,2020-Q1,,0.20262108004867013,0.21242282428001488,73.94764815306937,,,0.7896570396805228,,0.517171591033538,0.09251907245040171,1
HQI,2020-Q2,,0.32316967655869205,0.39883005456757864,52.52168067226891,-0.10426363949343326,,0.6656610329577144,,0.4225055384727275,0.11860774044686431,1
SWBI,2020-Q1,0.3869647838919662,0.009242712165932155,-0.017046051833582664,0.4350970688998858,,0.026110864027817086,0.35161120769821697,0.6838879159369528,0.743462481210135,0.5189143704163997,1
SWBI,2020-Q2,0.28423406283534874,0.03140971041145568,0.011353262831590678,1.1770937808489634,,0.026236310395044815,0.23661914584214408,0.8920370098399177,0.8112103907737096,0.49719706823475884,1
BSY,2020-Q3,0.7900067488682099,0.15494317650014533,0.02878860278723331,16.263185108583247,,0.2473780400695577,0.3683798282733242,,151.0280217482225,-0.374105568378455,1
AMKR,2020-Q1,0.16389500058996231,0.07294103153175038,0.05542956197033531,4.932414197711939,,0.027982433004573943,0.06297153605363799,1.8282069465110442,1.337306211670411,0.061926117867993784,1
AMKR,2020-Q2,0.16396838970457214,0.07376872374583195,0.0472534527401529,5.40369722707969,0.31006640195240726,0.026886996348395316,0.06331266961034487,1.5862468672900256,1.4164203978595398,0.0690837136889714,1
AMKR,2020-Q3,0.1780508898297887,0.09414094147588335,0.0680571895750663,7.770604730553524,0.24919435713251106,0.026465577024910213,0.05744437132899515,1.4314264525182314,1.310943669898868,0.08673816634284802,1
EA,2020-Q1,0.8026045236463331,0.32282385195339275,0.25017135023989034,42.88732788728008,0.20678246484698098,0.3002056202878684,0.17614804660726524,,0.45001285016705217,0.6939914923785891,1
EA,2020-Q2,0.7515204170286707,0.12945264986967853,0.16072980017376196,13.53134627178263,-0.14614243323442136,0.365768896611642,0.2510860121633362,,0.42043343653250775,0.6988666085440279,1
EA,2020-Q3,0.6407650926479378,0.15002988643156007,0.1261207411835027,22.836496688526015,0.050219711236660386,0.269575612671847,0.2181709503885236,,0.5597136757503454,0.6484702093397745,1
GCMG,2020-Q4,,-0.4697983124099609,0.026040594772586953,-12.316304164559096,,,0.17062409960897304,,18.200085026267043,-0.04718177763578679,1
PPSI,2020-Q3,0.1824240928165885,-0.11133053567020489,0.33053567020488767,8.2,-0.2725803555395942,,0.2937546284867934,1.7628273650454303,0.6565089365198932,-0.38863166597767673,1
PPSI,2020-Q4,0.04914050822122571,-0.16834828101644245,-0.13901345291479822,9.793478260869565,-0.19336850037678976,,0.21748878923766815,2.0861321776814736,0.5359694061620608,-0.4765819514257528,1
PPSI,2021-Q1,0.045402627070245574,-0.3158195316961736,0.10022844089091948,11.89247311827957,-0.2997400519896021,,0.36122215876641917,1.7431192660550459,0.5646984483605982,-0.439468724759939,1
AFCG,2021-Q1,,0.5310387075360645,0.2989868740801771,,,,0.09872305365736002,,0.023916165340398893,-0.001383218628229648,1
VTRS,2020-Q4,0.1949496343314475,-0.21175658893335172,-0.2527390644404581,-5.31371191135734,,0.03099213467641783,0.3757140885883814,0.700148633424533,1.6815688700493594,0.08709892287946973,1
VTRS,2021-Q1,0.25445229442701395,-0.05491727422522177,-0.2342053585535968,-1.4396449704142011,,0.04155474798546374,0.267814820666772,0.7392489552119141,1.7541455168645836,0.07330719982637947,1
MU,2020-Q4,0.3414795244385733,0.19105019815059446,0.16314398943196828,31.27027027027027,0.24353182751540042,0.10402906208718626,0.0381439894319683,1.897814619442351,0.3765001538619346,0.6219307723834718,1
MU,2021-Q1,0.3007102026675905,0.15000866100814134,0.1390957907500433,22.789473684210527,0.12227838258164853,0.11207344534903863,0.03706911484496796,1.9353023909985936,0.3454030621194277,0.6358235085954815,1
MU,2021-Q2,0.26443232841565106,0.1063181526619628,0.0966966003848621,20.71875,0.29997915363769023,0.1027902501603592,0.03431686978832585,2.307380820909258,0.3313085606079237,0.6414149810658539,1
HPK,2020-Q4,1.2711263299498594,-1.4867310749663691,8.389996331172801,-1519.625,,0.6148954384248502,-0.25253760547878196,1.4786717182973033,0.13433257560741083,-0.19929916531890768,1
HPK,2021-Q1,0.9134035851771202,0.2312478127308784,0.1844694171170821,112.20754716981132,,0.007426993817319283,0.06839833573122837,0.7877891107599483,0.15883944999342883,-0.181570259796182,1
HPK,2021-Q2,0.9027967681789931,0.43660658794282164,0.11897659001450175,138.65131578947367,,0.009591879013880257,0.03349906774394033,0.694516010305484,0.22416768271688453,-0.16002369201701458,1
PWP,2020-Q4,0.2010732506806947,0.043183800787755425,0.01541674376800867,2.117159149818559,,,0.01376192867905575,,6.3191027593923135,,1
PWP,2021-Q1,0.3553079469028633,0.1651570652878058,0.1325484976619828,7.250258531540848,,,0.01297982355920425,,0.1090655733772267,-0.0008801696978288843,1
PWP,2021-Q2,0.3565904821540388,0.19979257983719473,-0.048915936130244204,14.196607341490544,,,0.014378522229179711,,1.3410223076126597,-0.02047499230078696,1
XBIT,2020-Q4,0.5733535775289429,-0.9341431011577149,-0.34883279559688746,38.453125,,0.6568608844182957,0.8506357942683621,,0.014642653288932104,0.27581527884571894,1
XBIT,2021-Q1,0.5249484536082474,-0.7325773195876288,-0.5294845360824743,32.596330275229356,-0.6175380490497595,0.9554639175257732,0.3020618556701031,,0.01091173480110651,0.2668989155475642,1
XBIT,2021-Q2,0.6994475138121546,-2.343646408839779,-1.1310497237569062,86.21951219512195,-0.7080268421731837,2.0450828729281767,0.9980110497237569,,0.01546918213011097,0.2539355174089435,1
TRS,2021-Q1,0.24829487737628791,0.10211386833067286,0.0631741885551202,5.946478873239436,0.1309699655342196,,0.14618100904561504,1.2874299076028968,1.5895598771750257,-0.09495885440290287,1
TRS,2021-Q2,0.26498926891638885,0.11676332252614274,0.05406639572583223,6.206310679611651,0.09741919318466549,,0.14822594639024614,1.945324768022841,1.0832496653279786,-0.10820514880115667,1
TRS,2021-Q3,0.26274615592123013,0.1385666756586638,0.08807661181548422,8.959302325581396,0.11511079915772586,,0.12417948026256631,2.088288418466874,1.0482159135304077,-0.09149142466580834,1
CNXC,2021-Q1,0.3591649313740414,0.09967575028929754,0.06562657487966257,17.51122939114631,,,0.25948918108474384,,1.143262106795442,0.017343022612070772,1
CNXC,2021-Q2,0.3523883148718353,0.09360249598869388,0.060519257919318364,19.010229799851743,,,0.2587858188831414,,1.0168805993276855,0.03365482611558845,1
CNXC,2021-Q3,0.3444914335362795,0.10834059163314251,0.07854995272860782,31.096754313886606,,,0.23615084190313695,,0.9524233607651549,0.0561877175891916,1
LKQ,2021-Q1,0.4080731630400505,0.119520655944497,0.08388520971302428,15.791666666666666,0.056670670974213036,,0.26773888363292336,0.8459369636538394,1.1529991990078032,0.3980869383552445,1
